T14,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1995,GDP in current prices (millions of US dollars),31247262.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2005,GDP in current prices (millions of US dollars),47730924.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2010,GDP in current prices (millions of US dollars),66461443.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2015,GDP in current prices (millions of US dollars),75133208.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2018,GDP in current prices (millions of US dollars),86357998.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2019,GDP in current prices (millions of US dollars),87718575.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2020,GDP in current prices (millions of US dollars),85328323.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",1995,GDP per capita (US dollars),5441.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2005,GDP per capita (US dollars),7298.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2010,GDP per capita (US dollars),9556.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2015,GDP per capita (US dollars),10183.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2018,GDP per capita (US dollars),11319.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2019,GDP per capita (US dollars),11375.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2020,GDP per capita (US dollars),10949.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",1995,GDP in constant 2010 prices (millions of US dollars),40337094.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2005,GDP in constant 2010 prices (millions of US dollars),56429253.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2010,GDP in constant 2010 prices (millions of US dollars),64812674.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2015,GDP in constant 2010 prices (millions of US dollars),75133208.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2018,GDP in constant 2010 prices (millions of US dollars),82263489.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2019,GDP in constant 2010 prices (millions of US dollars),84310608.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2020,GDP in constant 2010 prices (millions of US dollars),81472450.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",1995,GDP real rates of growth (percent),3.10,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2005,GDP real rates of growth (percent),4.00,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2010,GDP real rates of growth (percent),4.50,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2015,GDP real rates of growth (percent),3.10,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2018,GDP real rates of growth (percent),3.20,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
